"","blue_band_sf_mean","blue_band_sf_sd","green_band_sf_mean","green_band_sf_sd","red_band_sf_mean","red_band_sf_sd","nearinf_band_sf_mean","nearinf_sf_sd","shinf_band_sf_mean","shinf_sf_sd","shinf2_band_sf_mean","shinf2_sf_sd","bright_band_sf_mean","bright_sf_sd","npv","pv","bs"
"1846",0.0416555555555555,0.00228673037380212,0.0561444444444444,0.00181114519395327,0.0624333333333333,0.00220050499254653,0.1932,0.00183847763108502,0.247222222222222,0.00763119005977386,0.131544444444444,0.0035854989149539,0.295555555555556,0.000157134840269531,0.418143241860465,0.563465657037353,0.042617988
"1847",0.0536555555555555,0.00181298471594404,0.0783777777777778,0.00214930364835683,0.0791444444444444,0.00217670041378179,0.228855555555556,0.00311523536157808,0.288888888888889,0.00590300195652795,0.146633333333333,0.00269485105752103,0.2986,0,0.458406717647059,0.577388702787068,0.0239904
"1848",0.0536555555555555,0.00181298471594404,0.0783777777777778,0.00214930364835683,0.0791444444444444,0.00217670041378179,0.228855555555556,0.00311523536157808,0.288888888888889,0.00590300195652795,0.146633333333333,0.00269485105752103,0.2986,0,0.309903633,0.619269247,0.07082712
"1849",0.0384777777777778,0.00222249998264105,0.0543111111111111,0.001566627265068,0.0593222222222222,0.00205900611287083,0.213277777777778,0.00372909812682671,0.227433333333333,0.00594754851458425,0.1166,0.00433589667773576,0.296222222222222,0.000248451997492572,0.364680954236589,0.661104208695652,0.0143946
"1850",0.0341333333333333,0.0014613540144522,0.0464555555555555,0.00406259662753081,0.0621444444444444,0.00346862480310153,0.1838,0.00498598034492716,0.220144444444444,0.012447678151287,0.116566666666667,0.00825429181295,0.2874,0.000336650164612069,0.567645477445783,0.447161994281553,0.016957647
"1851",0.0414666666666667,0.00207417989148054,0.0610888888888889,0.00421121371906656,0.0726444444444444,0.00363015491285948,0.183166666666667,0.00471404520791032,0.23,0.0155178033955268,0.124244444444444,0.0067475281253559,0.284566666666667,0.000368178700572909,0.777294526875175,0.208109041494382,0.063779989
"1852",0.0508666666666667,0.00195732243412043,0.0695333333333333,0.00207417989148054,0.0784555555555555,0.00389361617440395,0.181888888888889,0.00257701138032413,0.264077777777778,0.0103066082121861,0.149788888888889,0.00873338987824494,0.293466666666667,0.000235702260395516,0.755518622537313,0.236031927023945,0.07548287
"1853",0.0499,0.00172046505340853,0.0700777777777778,0.00119422478600414,0.0784888888888889,0.00166496209128983,0.189011111111111,0.00324737310741536,0.268477777777778,0.00667112813677569,0.1554,0.00435660418215839,0.299044444444444,0.000125707872218259,0.600259180141443,0.409775436344121,0.030005787
"1854",0.0499,0.00172046505340853,0.0700777777777778,0.00119422478600414,0.0784888888888889,0.00166496209128983,0.189011111111111,0.00324737310741536,0.268477777777778,0.00667112813677569,0.1554,0.00435660418215839,0.299044444444444,0.000125707872218259,0.721343319913161,0.21486592772043,0.096648706
"1855",0.0603555555555555,0.001867327925204,0.0778666666666667,0.00142594997574716,0.101255555555556,0.00369206690414612,0.225633333333333,0.00164991582276861,0.340555555555555,0.00567198007971583,0.202788888888889,0.0032881755983267,0.310266666666667,0.000188561808316413,0.573995198122431,0.396692606956522,0.0557172
